date,steps,workouts_ct,workout_minutes,workout_distance,workout_energy
2025-03-27 00:00:00,11299,0,0.0,0.0,0.0
2025-03-28 00:00:00,9885,2,54.83049626747767,0.0,0.0
2025-03-29 00:00:00,34380,1,45.49967224995295,0.0,0.0
2025-03-30 00:00:00,9291,0,0.0,0.0,0.0
2025-03-31 00:00:00,9802,0,0.0,0.0,0.0
2025-04-01 00:00:00,8642,0,0.0,0.0,0.0
2025-04-02 00:00:00,10161,0,0.0,0.0,0.0
2025-04-03 00:00:00,10929,0,0.0,0.0,0.0
2025-04-04 00:00:00,12895,2,53.695500151316324,0.0,0.0
2025-04-05 00:00:00,10445,0,0.0,0.0,0.0
2025-04-06 00:00:00,15300,0,0.0,0.0,0.0
2025-04-07 00:00:00,11101,2,59.0317931175232,0.0,0.0
2025-04-08 00:00:00,13235,0,0.0,0.0,0.0
2025-04-09 00:00:00,8830,0,0.0,0.0,0.0
2025-04-10 00:00:00,2135,0,0.0,0.0,0.0
2025-04-11 00:00:00,9934,1,49.10745386679967,0.0,0.0
2025-04-12 00:00:00,12797,0,0.0,0.0,0.0
2025-04-13 00:00:00,10732,0,0.0,0.0,0.0
2025-04-14 00:00:00,11960,1,46.39978530009588,0.0,0.0
2025-04-15 00:00:00,19903,0,0.0,0.0,0.0
2025-04-16 00:00:00,9790,0,0.0,0.0,0.0
2025-04-17 00:00:00,5931,0,0.0,0.0,0.0
2025-04-18 00:00:00,19683,0,0.0,0.0,0.0
2025-04-19 00:00:00,10583,0,0.0,0.0,0.0
2025-04-20 00:00:00,4083,0,0.0,0.0,0.0
2025-04-21 00:00:00,11852,1,32.38829446633657,0.0,0.0
2025-04-22 00:00:00,7855,0,0.0,0.0,0.0
2025-04-23 00:00:00,8499,0,0.0,0.0,0.0
2025-04-24 00:00:00,8483,0,0.0,0.0,0.0
2025-04-25 00:00:00,11244,0,0.0,0.0,0.0
2025-04-26 00:00:00,7599,0,0.0,0.0,0.0
2025-04-27 00:00:00,15559,0,0.0,0.0,0.0
